date,value,series_id,series_name
1984-11-01,11.57,GS10,10-Year Treasury Constant Maturity Rate
1984-12-01,11.5,GS10,10-Year Treasury Constant Maturity Rate
1985-01-01,11.38,GS10,10-Year Treasury Constant Maturity Rate
1985-02-01,11.51,GS10,10-Year Treasury Constant Maturity Rate
1985-03-01,11.86,GS10,10-Year Treasury Constant Maturity Rate
1985-04-01,11.43,GS10,10-Year Treasury Constant Maturity Rate
1985-05-01,10.85,GS10,10-Year Treasury Constant Maturity Rate
1985-06-01,10.16,GS10,10-Year Treasury Constant Maturity Rate
1985-07-01,10.31,GS10,10-Year Treasury Constant Maturity Rate
1985-08-01,10.33,GS10,10-Year Treasury Constant Maturity Rate
1985-09-01,10.37,GS10,10-Year Treasury Constant Maturity Rate
1985-10-01,10.24,GS10,10-Year Treasury Constant Maturity Rate
1985-11-01,9.78,GS10,10-Year Treasury Constant Maturity Rate
1985-12-01,9.26,GS10,10-Year Treasury Constant Maturity Rate
1986-01-01,9.19,GS10,10-Year Treasury Constant Maturity Rate
1986-02-01,8.7,GS10,10-Year Treasury Constant Maturity Rate
1986-03-01,7.78,GS10,10-Year Treasury Constant Maturity Rate
1986-04-01,7.3,GS10,10-Year Treasury Constant Maturity Rate
1986-05-01,7.71,GS10,10-Year Treasury Constant Maturity Rate
1986-06-01,7.8,GS10,10-Year Treasury Constant Maturity Rate
1986-07-01,7.3,GS10,10-Year Treasury Constant Maturity Rate
1986-08-01,7.17,GS10,10-Year Treasury Constant Maturity Rate
1986-09-01,7.45,GS10,10-Year Treasury Constant Maturity Rate
1986-10-01,7.43,GS10,10-Year Treasury Constant Maturity Rate
1986-11-01,7.25,GS10,10-Year Treasury Constant Maturity Rate
1986-12-01,7.11,GS10,10-Year Treasury Constant Maturity Rate
1987-01-01,7.08,GS10,10-Year Treasury Constant Maturity Rate
1987-02-01,7.25,GS10,10-Year Treasury Constant Maturity Rate
1987-03-01,7.25,GS10,10-Year Treasury Constant Maturity Rate
1987-04-01,8.02,GS10,10-Year Treasury Constant Maturity Rate
